CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID             ,PARTNAME                   ,BOARDNAME                                    ,SHORTNAME  ,ZYNQFLASHTYP             ,FPGAFLASHTYP                       ,PCB_REV    ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE  ,OTHERS           ,NOTES                                          ,DESIGN
#1  ,TE0803-ES1         ,xczu3eg-sfvc784-1-i-es1    ,trenz.biz:te0803_es1:part0:1.0               ,es1_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,"Not longer supported by vivado"               ,TE0803_TB
#2  ,TE0803-ES1         ,xczu3eg-sfvc784-1-i-es1    ,trenz.biz:te0803_es1_tebf0808:part0:2.0      ,es1_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,"Not longer supported by vivado"               ,TE0803_SK
3   ,TE0803-01-02EG-1E  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e:part0:1.0            ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_TB
4   ,TE0803-01-02EG-1E  ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0803_2eg_1e_tebf0808:part0:2.0   ,2eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_SK  
5   ,TE0803-01-02CG-1E  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e:part0:1.0            ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_TB  
6   ,TE0803-01-02CG-1E  ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0803_2cg_1e_tebf0808:part0:2.0   ,2cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_SK  
7   ,TE0803-01-03EG-1E  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e:part0:1.0            ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_TB  
8   ,TE0803-01-03EG-1E  ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0803_3eg_1e_tebf0808:part0:2.0   ,3eg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_SK  
9   ,TE0803-01-03CG-1E  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e:part0:1.0            ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_TB  
10  ,TE0803-01-03CG-1E  ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0803_3cg_1e_tebf0808:part0:2.0   ,3cg_2gb    ,qspi-x8-dual_parallel    ,mt25qu256-qspi-x8-dual_parallel    ,REV01      ,2GB      ,64MB       ,NA         ,NA               ,NA                                             ,TE0803_SK  
